,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
242,Ilhabela,BR,-23.7781,-45.3581,58.48,80,0,1.97,clear sky
243,Hamilton,US,39.1834,-84.5333,68.94,90,0,3.44,clear sky
244,Salto,UY,-31.3833,-57.9667,45.88,98,87,4.34,overcast clouds
245,Antalaha,MG,-14.9003,50.2788,75.56,68,60,9.24,broken clouds
246,Bethel,US,41.3712,-73.414,65.62,90,0,0.0,clear sky
247,Naze,JP,28.3667,129.4833,79.72,88,93,27.85,overcast clouds
248,Ixtapa,MX,20.7,-105.2,76.23,91,100,3.6,overcast clouds
249,Nuuk,GL,64.1835,-51.7216,41.88,86,100,8.99,overcast clouds
250,Darbhanga,IN,26.1667,85.9,85.32,74,100,2.35,overcast clouds
251,Scarborough,GB,54.2797,-0.4044,60.93,92,100,1.99,light rain
252,Nyaunglebin,MM,17.95,96.7333,83.55,79,100,6.51,overcast clouds
253,Ilulissat,GL,69.2167,-51.1,43.81,79,97,5.5,overcast clouds
254,Antiguo Morelos,MX,22.5495,-99.0812,74.1,92,1,2.95,clear sky
255,Niquelandia,BR,-14.4739,-48.4597,64.0,36,44,2.66,scattered clouds
256,Namatanai,PG,-3.6667,152.4333,80.47,80,33,11.36,scattered clouds
257,Laguna,US,38.421,-121.4238,73.18,78,0,9.22,clear sky
258,Qui Nhon,VN,13.7667,109.2333,84.31,81,91,4.05,overcast clouds
259,Hastings,GB,50.8552,0.5729,73.98,79,98,20.02,overcast clouds
260,Sola,VU,-13.8833,167.55,80.15,75,100,11.54,overcast clouds
261,Bassano,CA,50.7834,-112.4685,63.09,85,37,4.14,scattered clouds
262,Georgetown,MY,5.4112,100.3354,89.53,79,20,8.05,thunderstorm
263,Ternate,ID,0.8,127.4,82.54,72,100,4.36,overcast clouds
264,Podor,MR,16.6527,-14.9587,76.95,94,75,2.3,broken clouds
265,Nizhniy Tsasuchey,RU,50.5167,115.1333,81.27,34,12,7.49,few clouds
266,Lasa,IT,46.6166,10.7002,68.36,52,26,5.01,scattered clouds
267,Kavaratti,IN,10.5669,72.642,81.01,81,100,21.65,overcast clouds
268,Ndjole,GA,-0.1783,10.7649,81.88,61,75,3.94,broken clouds
269,Khash,IR,28.2211,61.2158,92.21,22,91,3.58,overcast clouds
270,Pangnirtung,CA,66.1451,-65.7125,48.69,95,100,2.8,light rain
271,Suslovo,RU,56.2167,88.1167,78.01,60,32,7.81,light rain
272,Togur,RU,58.3631,82.8265,64.2,94,100,10.58,overcast clouds
273,Barra Patuca,HN,15.8,-84.2833,79.52,84,71,10.94,broken clouds
274,Hongjiang,CN,27.11,109.9956,93.0,50,57,1.54,broken clouds
275,Artigas,UY,-30.4,-56.4667,45.9,88,94,5.01,overcast clouds
276,Valparaiso,CL,-33.0393,-71.6273,52.48,85,0,4.61,clear sky
277,Bandundu,CD,-3.3167,17.3667,86.05,42,1,7.67,clear sky
278,Karratha,AU,-20.7377,116.8463,76.14,38,9,10.51,clear sky
279,Mlonggo,ID,-6.5333,110.7,83.79,63,64,10.25,broken clouds
280,Khani,GE,41.9563,42.9566,72.97,46,10,4.54,clear sky
281,Taoudenni,ML,22.6783,-3.9836,100.69,25,10,14.07,clear sky
282,Sur,OM,22.5667,59.5289,95.29,49,28,8.88,scattered clouds
283,Sabang,ID,5.8933,95.3214,82.6,75,100,21.68,overcast clouds
284,Ambilobe,MG,-13.2,49.05,90.72,27,1,5.12,clear sky
285,Bandarbeyla,SO,9.4942,50.8122,89.35,47,14,26.53,few clouds
286,Chernyshevskiy,RU,63.0128,112.4714,77.27,43,16,5.32,few clouds
287,Berlevag,NO,70.8578,29.0864,55.2,100,100,14.97,mist
288,Kharitonovo,RU,61.4009,47.4978,71.6,73,100,4.07,overcast clouds
289,Smithers,CA,54.7804,-127.1743,66.52,77,0,0.0,clear sky
290,Half Moon Bay,US,37.4636,-122.4286,65.05,90,100,11.5,fog
291,Ponta Do Sol,PT,32.6667,-17.1,76.71,71,8,1.95,clear sky
292,Asau,RO,46.4333,26.4,67.28,95,100,3.49,light rain
293,Kampong Cham,KH,11.9934,105.4635,89.96,63,96,7.11,overcast clouds
294,Leshukonskoye,RU,64.8989,45.7622,76.75,46,100,2.08,overcast clouds
295,Anloga,GH,5.7947,0.8973,76.8,78,92,15.1,overcast clouds
296,Egvekinot,RU,66.3167,-179.1667,48.4,59,100,2.17,overcast clouds
297,Yenagoa,NG,4.9247,6.2642,79.29,80,98,8.77,light rain
298,Te Anau,NZ,-45.4167,167.7167,32.36,93,40,0.36,scattered clouds
299,Bayangol,RU,50.6977,103.4656,70.81,51,77,3.89,broken clouds
300,Manzhouli,CN,49.6,117.4333,77.54,53,78,5.97,broken clouds
301,Billings,US,45.7833,-108.5007,74.97,48,0,9.22,clear sky
302,San Juan Evangelista,MX,17.9,-95.1333,71.6,96,62,4.61,broken clouds
303,Banda Aceh,ID,5.5577,95.3222,85.82,64,99,15.75,overcast clouds
304,Meiringen,CH,46.7268,8.184,76.01,56,5,0.0,clear sky
305,Bourail,NC,-21.5667,165.4833,65.37,85,78,12.95,broken clouds
306,Nelson Bay,AU,-32.7167,152.15,61.0,73,99,8.99,overcast clouds
307,Fare,PF,-16.7,-151.0167,79.03,66,0,23.98,clear sky
308,Warmbad,NA,-28.45,18.7333,52.79,41,0,11.77,clear sky
309,Luanda,AO,-8.8368,13.2343,71.74,73,100,2.84,overcast clouds
310,Najran,SA,17.4924,44.1277,93.85,21,98,4.83,overcast clouds
311,Zyryanka,RU,65.75,150.85,74.97,35,1,11.43,clear sky
312,Srednekolymsk,RU,67.45,153.6833,71.19,33,60,7.58,broken clouds
313,Muscat,OM,23.6139,58.5922,92.97,64,66,9.31,broken clouds
314,Gaoual,GN,11.75,-13.2,76.26,87,43,3.42,scattered clouds
315,Plyussa,RU,58.4308,29.3654,70.21,45,11,4.21,few clouds
316,Port Elizabeth,ZA,-33.918,25.5701,57.31,69,0,16.11,clear sky
317,Zhangjiakou,CN,40.81,114.8794,88.97,40,0,6.06,clear sky
318,Westport,US,41.1415,-73.3579,69.37,86,0,4.18,clear sky
319,Ahipara,NZ,-35.1667,173.1667,53.01,64,5,12.73,clear sky
