City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
301,Billings,US,74.97,clear sky,45.7833,-108.5007,Best Western Plus Clocktower Inn
302,San Juan Evangelista,MX,71.6,broken clouds,17.9,-95.1333,Salon INAPAM San Juan Evangelista
304,Meiringen,CH,76.01,clear sky,46.7268,8.184,Das Hotel Sherlock Holmes
307,Fare,PF,79.03,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
309,Luanda,AO,71.74,overcast clouds,-8.8368,13.2343,EPIC SANA Luanda
314,Gaoual,GN,76.26,scattered clouds,11.75,-13.2,Hotel koliba
315,Plyussa,RU,70.21,few clouds,58.4308,29.3654,Service hotel
321,Celestun,MX,75.27,broken clouds,20.8667,-90.4,Posada Lilia
331,Itaituba,BR,70.39,scattered clouds,-4.2761,-55.9836,Hotel Campos
333,Makakilo City,US,79.12,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
341,Bahia De Caraquez,EC,71.71,overcast clouds,-0.6,-80.4167,Saiananda Eco-Hotel
347,Saint-Joseph,RE,77.38,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
351,Los Llanos De Aridane,ES,72.12,broken clouds,28.6585,-17.9182,Valle Aridane
353,Svetlogorsk,BY,75.96,overcast clouds,52.6333,29.7333,Hotel Svetlogorsk JBIK
354,Port-Gentil,GA,78.76,scattered clouds,-0.7193,8.7815,Fengshui Residence
355,Tautira,PF,77.09,light rain,-17.7333,-149.15,Pension Oaoa
363,Baft,IR,79.09,broken clouds,29.234,56.6057,Paeez Hotel & restaurant
366,Ugoofaaru,MV,79.54,overcast clouds,5.6667,73.0,Ungoofaaru Inn
371,Banjar,ID,79.39,broken clouds,-8.19,114.9675,The Hamsa Resort
374,Olinda,BR,74.93,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
380,Loikaw,MM,75.51,overcast clouds,19.6742,97.2094,Myat Nan Taw Hotel
385,Tomatlan,MX,76.39,overcast clouds,19.9333,-105.25,El Salvial
386,Praia Da Vitoria,PT,74.75,few clouds,38.7333,-27.0667,Hotel Branco I
388,Dumas,US,71.53,clear sky,35.8656,-101.9732,"Holiday Inn Express & Suites Dumas, an IHG Hotel"
392,Pangai,TO,77.65,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
394,Loei,TH,79.97,overcast clouds,17.4167,101.5,Ban Aloi Resort
395,Bambous Virieux,MU,77.25,broken clouds,-20.3428,57.7575,Casa Tia Villa
396,Xai-Xai,MZ,77.7,clear sky,-25.0519,33.6442,Complexo da Familia
399,Muleba,TZ,71.26,light rain,-1.8397,31.6544,DIGNITY GUEST (RUGAIMUKAMU)
403,Srandakan,ID,78.87,broken clouds,-7.9386,110.2506,Puri Brata
410,Ocala,US,76.98,clear sky,29.1872,-82.1401,Shangri La Motel
413,Morondava,MG,78.44,clear sky,-20.2833,44.2833,La Case Bambou
418,Daru,PG,76.26,broken clouds,-9.0763,143.2092,Daru Lodge
421,Sayansk,RU,71.96,light rain,54.1088,102.1648,Yubileynaya
433,Norsup,VU,78.13,overcast clouds,-16.0667,167.3833,Nabelchel Bungalows
438,Uzhur,RU,75.45,light rain,55.3036,89.8339,"Gostinitsa ""Turist"""
441,Vernon,CA,72.93,clear sky,50.2581,-119.2691,Prestige Vernon Lodge and Conference Centre
442,Bermejillo,MX,77.34,overcast clouds,25.8833,-103.6167,Hotel Mirador
443,Portland,US,77.2,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
446,Shostka,UA,75.58,broken clouds,51.863,33.4698,Premiere Hotel
452,Inta,RU,73.53,overcast clouds,66.0317,60.1659,Apartments in Inta city
460,Liberal,US,70.84,overcast clouds,37.0431,-100.921,Hampton Inn & Suites Liberal
461,Moog,PH,77.32,overcast clouds,8.6011,124.4658,AGD Inn
466,Ust-Koksa,RU,74.79,overcast clouds,50.2696,85.6108,Uymonskaya Dolina
469,Kamaishi,JP,79.65,scattered clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
471,Morgan City,US,75.99,clear sky,29.6994,-91.2068,Hampton Inn & Suites Morgan City
