City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
262,Georgetown,MY,89.53,thunderstorm,5.4112,100.3354,Cititel Penang
263,Ternate,ID,82.54,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
264,Podor,MR,76.95,broken clouds,16.6527,-14.9587,Auberge Du Tékrour
266,Lasa,IT,68.36,scattered clouds,46.6166,10.7002,Pension Feldgärtenhof
267,Kavaratti,IN,81.01,overcast clouds,10.5669,72.642,Green leaf
268,Ndjole,GA,81.88,broken clouds,-0.1783,10.7649,Motel Kédyann
277,Bandundu,CD,86.05,clear sky,-3.3167,17.3667,Coja Color
278,Karratha,AU,76.14,clear sky,-20.7377,116.8463,ibis Styles Karratha
279,Mlonggo,ID,83.79,broken clouds,-6.5333,110.7,Asia Metal Art
280,Khani,GE,72.97,clear sky,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
283,Sabang,ID,82.6,overcast clouds,5.8933,95.3214,Hotel Citra
285,Bandarbeyla,SO,89.35,few clouds,9.4942,50.8122,JABIR HOTEL
286,Chernyshevskiy,RU,77.27,few clouds,63.0128,112.4714,Chernyseyskiy
289,Smithers,CA,66.52,clear sky,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
290,Half Moon Bay,US,65.05,fog,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
291,Ponta Do Sol,PT,76.71,clear sky,32.6667,-17.1,Hotel do Campo
292,Asau,RO,67.28,light rain,46.4333,26.4,Casa Mika Ciobanus
293,Kampong Cham,KH,89.96,overcast clouds,11.9934,105.4635,7 Makara Hotel
294,Leshukonskoye,RU,76.75,overcast clouds,64.8989,45.7622,Pryalitsa Hostel
295,Anloga,GH,76.8,overcast clouds,5.7947,0.8973,Pin Drop Hotel
297,Yenagoa,NG,79.29,light rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
300,Manzhouli,CN,77.54,broken clouds,49.6,117.4333,Angala International Youth Hostel
301,Billings,US,74.97,clear sky,45.7833,-108.5007,Best Western Plus Clocktower Inn
302,San Juan Evangelista,MX,71.6,broken clouds,17.9,-95.1333,Salon INAPAM San Juan Evangelista
303,Banda Aceh,ID,85.82,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
304,Meiringen,CH,76.01,clear sky,46.7268,8.184,Das Hotel Sherlock Holmes
305,Bourail,NC,65.37,broken clouds,-21.5667,165.4833,Motel Allamanda
306,Nelson Bay,AU,61.0,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
307,Fare,PF,79.03,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
309,Luanda,AO,71.74,overcast clouds,-8.8368,13.2343,EPIC SANA Luanda
314,Gaoual,GN,76.26,scattered clouds,11.75,-13.2,Hotel koliba
315,Plyussa,RU,70.21,few clouds,58.4308,29.3654,Service hotel
317,Zhangjiakou,CN,88.97,clear sky,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
318,Westport,US,69.37,clear sky,41.1415,-73.3579,The Westport Inn
321,Celestun,MX,75.27,broken clouds,20.8667,-90.4,Posada Lilia
322,Dali,CN,63.39,overcast clouds,25.7,100.1833,Dali Travelling With Hostel
327,Puerto Asis,CO,68.99,overcast clouds,0.5133,-76.5007,Ayawaska Hostal
330,Gannan,CN,83.97,clear sky,47.9147,123.5031,Gannan Supply and Marketing Cooperatives Hostel
331,Itaituba,BR,70.39,scattered clouds,-4.2761,-55.9836,Hotel Campos
333,Makakilo City,US,79.12,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
334,Port Hardy,CA,60.98,overcast clouds,50.6996,-127.4199,Airport Inn-Port Hardy
336,Seoul,KR,80.2,moderate rain,37.5683,126.9778,LOTTE HOTEL SEOUL
338,Bergen,NO,60.08,broken clouds,60.392,5.328,Clarion Collection Hotel Havnekontoret
339,Beysehir,TR,86.7,clear sky,37.6773,31.7246,Anatolia Boutique Hotel Penta
341,Bahia De Caraquez,EC,71.71,overcast clouds,-0.6,-80.4167,Saiananda Eco-Hotel
342,Leh,IN,68.25,overcast clouds,34.1667,77.5833,Hotel Ladakh Greens
344,Chapais,CA,60.58,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
346,Gladstone,AU,64.33,overcast clouds,-23.85,151.25,Highpoint International Hotel
347,Saint-Joseph,RE,77.38,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
351,Los Llanos De Aridane,ES,72.12,broken clouds,28.6585,-17.9182,Valle Aridane
353,Svetlogorsk,BY,75.96,overcast clouds,52.6333,29.7333,Hotel Svetlogorsk JBIK
354,Port-Gentil,GA,78.76,scattered clouds,-0.7193,8.7815,Fengshui Residence
355,Tautira,PF,77.09,light rain,-17.7333,-149.15,Pension Oaoa
356,Broome,US,60.06,clear sky,42.2506,-75.833,Chenango Valley State Park
358,Townsville,AU,68.88,overcast clouds,-19.25,146.8,Rydges Southbank Townsville
360,Kuusankoski,FI,66.72,scattered clouds,60.907,26.6244,Hotel Sommelo
361,Haverfordwest,GB,64.06,overcast clouds,51.8017,-4.9691,Coastal Cottages of Pembrokeshire
362,Socorro,US,84.49,overcast clouds,31.6546,-106.3033,guarderia imss papalote
363,Baft,IR,79.09,broken clouds,29.234,56.6057,Paeez Hotel & restaurant
364,Pacific Grove,US,60.82,broken clouds,36.6177,-121.9166,Lovers Point Inn
366,Ugoofaaru,MV,79.54,overcast clouds,5.6667,73.0,Ungoofaaru Inn
370,Hibbing,US,69.22,clear sky,47.4272,-92.9377,Mitchell-Tappan House - Carriage House Rentals
371,Banjar,ID,79.39,broken clouds,-8.19,114.9675,The Hamsa Resort
372,Impfondo,CG,84.6,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
373,Ouahigouya,BF,83.73,overcast clouds,13.5828,-2.4216,Hotel Liberte
374,Olinda,BR,74.93,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
376,Caxias,PT,88.47,clear sky,38.7031,-9.2767,Amazónia Jamor Hotel
377,Suluova,TR,80.46,few clouds,40.8313,35.6479,GÜN APART
379,Whitehorse,CA,63.37,light intensity shower rain,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
380,Loikaw,MM,75.51,overcast clouds,19.6742,97.2094,Myat Nan Taw Hotel
381,Vao,NC,68.41,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
382,San Quintin,MX,68.32,clear sky,30.4833,-115.95,Don Eddie's / Hotel - Restaurant
384,Bundaberg,AU,62.22,overcast clouds,-24.85,152.35,Takalvan Motel
385,Tomatlan,MX,76.39,overcast clouds,19.9333,-105.25,El Salvial
386,Praia Da Vitoria,PT,74.75,few clouds,38.7333,-27.0667,Hotel Branco I
388,Dumas,US,71.53,clear sky,35.8656,-101.9732,"Holiday Inn Express & Suites Dumas, an IHG Hotel"
392,Pangai,TO,77.65,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
393,Totskoye,RU,82.92,broken clouds,52.5248,52.7623,Gostinitsa
